date,revenue,avg_price,num_transactions,num_customers,num_articles,online_pct,day_of_week,month,quarter,week_of_year,is_weekend,year,dow_sin,dow_cos,month_sin,month_cos,is_summer,is_winter,is_holiday_season,rev_roll_mean_7,rev_roll_std_7,rev_roll_min_7,rev_roll_max_7,rev_roll_mean_14,rev_roll_std_14,rev_roll_min_14,rev_roll_max_14,rev_roll_mean_30,rev_roll_std_30,rev_roll_min_30,rev_roll_max_30,rev_ewm_span14,rev_lag1,rev_lag7,rev_lag14,rev_lag30,lag7_mean,lag14_mean,lag7_std,rev_pct_change_1d,rev_pct_change_7d,mtd_revenue,wtd_revenue,rev_rolling_zscore_30,is_rev_outlier_30,rev_stl_trend,rev_stl_seasonal,rev_stl_resid,dept_rev_knitwear,dept_rev_swimwear,dept_rev_trouser,no_sales_day,rev_was_zero
2018-09-20,0.3467796610169486,0.0288983050847457,12,12,12,91.66666666666666,3,9,3,38,0,2018,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,0,0.3467796610169486,0.0,0.3467796610169486,0.3467796610169486,0.3467796610169486,0.0,0.3467796610169486,0.3467796610169486,0.3467796610169486,0.0,0.3467796610169486,0.3467796610169486,0.3467796610169486,,,,,,,0.0,,,0.3467796610169486,0.3467796610169486,,False,0.41745477834393674,-0.1407426641490694,0.07006754682208127,0.0,0.0,0.0254067796610169,0,0
2018-09-21,0.2714915254237284,0.0387845036319612,7,7,7,71.42857142857143,4,9,3,38,0,2018,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0,0,0,0.3091355932203385,0.053236751220858296,0.2714915254237284,0.3467796610169486,0.3091355932203385,0.053236751220858296,0.2714915254237284,0.3467796610169486,0.3091355932203385,0.053236751220858296,0.2714915254237284,0.3467796610169486,0.3367412429378526,0.3467796610169486,,,,0.3467796610169486,0.3467796610169486,0.0,-21.710654936461392,,0.618271186440677,0.618271186440677,,False,0.41199286681058667,-0.05122820803586007,-0.08927313335099818,0.0,0.0253898305084745,0.0,0,0
2018-09-22,0.0846949152542371,0.028231638418079,3,3,3,33.33333333333333,5,9,3,38,1,2018,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0,0,0,0.23432203389830472,0.1349380665919376,0.0846949152542371,0.3467796610169486,0.23432203389830472,0.1349380665919376,0.0846949152542371,0.3467796610169486,0.23432203389830472,0.1349380665919376,0.0846949152542371,0.3467796610169486,0.3031350659133706,0.2714915254237284,,,,0.3091355932203385,0.3091355932203385,0.053236751220858296,-68.8038456736172,,0.7029661016949141,0.7029661016949141,,False,0.4065426938611665,0.14637515732871711,-0.4682229359356465,0.0,0.0,0.0,0,0
2018-09-23,0.2684576271186434,0.0244052388289675,11,11,11,81.81818181818183,6,9,3,38,1,2018,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0,0,0,0.24285593220338939,0.11149064635582469,0.0846949152542371,0.3467796610169486,0.24285593220338939,0.11149064635582469,0.0846949152542371,0.3467796610169486,0.24285593220338939,0.11149064635582469,0.0846949152542371,0.3467796610169486,0.29851140740740695,0.0846949152542371,,,,0.23432203389830472,0.23432203389830472,0.1349380665919376,216.97018210926547,,0.9714237288135575,0.9714237288135575,,False,0.40107127506827756,-0.11014640683783652,-0.022467241111797653,0.0677627118644066,0.0,0.0525084745762711,0,0
2018-09-24,0.7121525423728805,0.0395640301318266,18,18,18,83.33333333333334,0,9,3,39,0,2018,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0.33671525423728765,0.2310205290270645,0.0846949152542371,0.7121525423728805,0.33671525423728765,0.2310205290270645,0.0846949152542371,0.7121525423728805,0.33671525423728765,0.2310205290270645,0.0846949152542371,0.7121525423728805,0.35366355873613675,0.2684576271186434,,,,0.24285593220338939,0.24285593220338939,0.11149064635582469,165.27558557989806,,1.6835762711864382,0.7121525423728805,,False,0.3956997957463939,0.23863129540913305,0.07782145121735351,0.0391016949152542,0.0,0.1152033898305083,0,0
2018-09-25,0.2906440677966096,0.0264221879815099,11,11,11,72.72727272727273,1,9,3,39,0,2018,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,0,0.3290367231638413,0.20748529321913656,0.0846949152542371,0.7121525423728805,0.3290367231638413,0.20748529321913656,0.0846949152542371,0.7121525423728805,0.3290367231638413,0.20748529321913656,0.0846949152542371,0.7121525423728805,0.3452609599441998,0.7121525423728805,,,,0.33671525423728765,0.33671525423728765,0.2310205290270645,-59.187947735440446,,1.9742203389830477,1.00279661016949,,False,0.3907489377653909,-0.07496564766235708,-0.02513922230642418,0.0,0.0,0.0660677966101694,0,0
2018-09-26,0.4069322033898297,0.0254332627118643,16,16,16,50.0,2,9,3,39,0,2018,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,0,0.34016464891041104,0.19168186543978044,0.0846949152542371,0.7121525423728805,0.34016464891041104,0.19168186543978044,0.0846949152542371,0.7121525423728805,0.34016464891041104,0.19168186543978044,0.0846949152542371,0.7121525423728805,0.35348379240361716,0.2906440677966096,,,,0.3290367231638413,0.3290367231638413,0.20748529321913656,40.01049685094471,,2.3811525423728774,1.4097288135593198,0.34832483670915987,False,0.3866899664397275,0.01687037044473335,0.0033718665053689145,0.0,0.0101525423728813,0.0592881355932202,0,0
2018-09-27,0.2028644067796605,0.020286440677966,10,10,10,70.0,3,9,3,39,0,2018,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,0,0.3196053268765128,0.19845252298613847,0.0846949152542371,0.7121525423728805,0.32300211864406725,0.18398236024096826,0.0846949152542371,0.7121525423728805,0.32300211864406725,0.18398236024096826,0.0846949152542371,0.7121525423728805,0.3334012076537563,0.4069322033898297,0.3467796610169486,,,0.34016464891041104,0.34016464891041104,0.19168186543978044,-50.147861218709686,-41.50048875855333,2.584016949152538,1.6125932203389803,-0.652984947617033,False,0.3844331711955796,-0.09985313979631787,-0.08171562461960125,0.0,0.0,0.0,0,0
2018-09-28,0.3894745762711854,0.0259649717514123,15,15,15,66.66666666666666,4,9,3,39,0,2018,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0,0,0,0.33646004842614946,0.1986951710235679,0.0846949152542371,0.7121525423728805,0.3303879472693026,0.17352024219147993,0.0846949152542371,0.7121525423728805,0.3303879472693026,0.17352024219147993,0.0846949152542371,0.7121525423728805,0.34087765680274684,0.2028644067796605,0.2714915254237284,,,0.3196053268765128,0.32300211864406725,0.19845252298613847,91.98763472303449,43.45736046947168,2.9734915254237233,2.0020677966101657,0.3405172114541001,False,0.3779236212149203,-0.03776937591991173,0.049320330976176885,0.0981186440677964,0.0,0.0338813559322033,0,0
2018-09-29,1.0863220338983033,0.0293600549702244,37,37,37,54.054054054054056,5,9,3,39,1,2018,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0,0,0,0.4795496368038732,0.31423545545469944,0.2028644067796605,1.0863220338983033,0.4059813559322027,0.28966779911485163,0.0846949152542371,1.0863220338983033,0.4059813559322027,0.28966779911485163,0.0846949152542371,1.0863220338983033,0.4402702404154877,0.3894745762711854,0.0846949152542371,,,0.33646004842614946,0.3303879472693026,0.1986951710235679,178.9198833717745,1182.6295777466487,4.059813559322027,3.088389830508469,2.348692813095008,False,0.37204071468207206,0.06102361139273903,0.6532577078234922,0.2592203389830505,0.0118474576271186,0.0254067796610169,0,0
